Nome do Medicamento;Substância Ativa/DCI;Forma Farmacêutica;Dosagem;Apresentação;Titular de AIM;Via;ATC;PVP;Código;CNPEM
Enbrel;Etanercept;Pó e solvente para solução injetável;10 mg/ml;"Frasco para injetáveis; 4 unidade(s) - 1 ml";Pfizer Europe MA EEIG;Via subcutânea;L04AB01 - etanercept;165,89;5397005;50122886
Enbrel;Etanercept;Pó e solvente para solução injetável;25 mg/1 ml;"Frasco para injetáveis; 4 unidade(s) - 1 ml";Pfizer Europe MA EEIG;Via subcutânea;L04AB01 - etanercept;346,80;4163788;50094637
Enbrel;Etanercept;Solução injetável em caneta pré-cheia;25 mg/0.5 ml;"Caneta pré-cheia; 4 unidade(s) - 0.5 ml";Pfizer Europe MA EEIG;Via subcutânea;L04AB01 - etanercept;346,80;5717152;50167537
Enbrel;Etanercept;Solução injetável em caneta pré-cheia;50 mg/1 ml;"Caneta pré-cheia; 4 unidade(s) - 1 ml";Pfizer Europe MA EEIG;Via subcutânea;L04AB01 - etanercept;681,62;5217237;50158090
Enbrel;Etanercept;Solução injetável em caneta pré-cheia;50 mg/1 ml;"Caneta pré-cheia; 2 unidade(s) - 1 ml";Pfizer Europe MA EEIG;Via subcutânea;L04AB01 - etanercept;374,67;5554621;50158082
Enbrel;Etanercept;Solução injetável em seringa pré-cheia;25 mg/0.5 ml;"Seringa pré-cheia; 4 unidade(s) - 0.5 ml";Pfizer Europe MA EEIG;Via subcutânea;L04AB01 - etanercept;346,80;5981683;50113011
Enbrel;Etanercept;Solução injetável em seringa pré-cheia;50 mg/1 ml;"Seringa pré-cheia; 4 unidade(s) - 1 ml";Pfizer Europe MA EEIG;Via subcutânea;L04AB01 - etanercept;681,62;5982087;50158066
Humira;Adalimumab;Solução injetável em caneta pré-cheia;40 mg/0.4 ml;"Caneta pré-cheia; 2 unidade(s) - 0.4 ml";AbbVie Deutschland GmbH & Co. KG;Via subcutânea;L04AB04 - adalimumab;776,28;5671003;50157000
Humira;Adalimumab;Solução injetável em caneta pré-cheia;80 mg/0.8 ml;"Caneta pré-cheia; 1 unidade(s) - 0.8 ml";AbbVie Deutschland GmbH & Co. KG;Via subcutânea;L04AB04 - adalimumab;776,28;5721246;50168193
Humira;Adalimumab;Solução injetável em seringa pré-cheia;20 mg/0.2 ml;"Seringa pré-cheia; 2 unidade(s) - 0.2 ml";AbbVie Deutschland GmbH & Co. KG;Via subcutânea;L04AB04 - adalimumab;399,97;5735147;50169998
